Code,Name,Latest_Date,Latest_Close,Matched_Conditions,MA5,MA20,MA60,Volume_Ratio
601825,沪农商行,2025-11-28,9.42,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | 放量上涨 (1.66X)",9.07,8.97,8.66,1.66X
600272,开开实业,2025-11-28,14.5,多头排列 (MA5>MA20>MA60),14.96,14.26,13.47,0.12X
600800,渤海化学,2025-11-28,4.11,"价格强势 (高于MA5,MA20,MA60)",3.99,4.05,4.00,0.73X
600827,百联股份,2025-11-28,9.04,放量上涨 (1.69X),8.83,8.99,9.20,1.69X
601996,丰林集团,2025-11-28,2.55,"价格强势 (高于MA5,MA20,MA60)",2.50,2.55,2.43,0.71X
600459,贵研铂业,2025-11-28,17.55,"价格强势 (高于MA5,MA20,MA60)",17.23,17.24,16.92,0.91X
600863,内蒙华电,2025-11-28,4.54,"价格强势 (高于MA5,MA20,MA60)",4.49,4.50,4.27,0.82X
605567,春雪食品,2025-11-28,11.55,"价格强势 (高于MA5,MA20,MA60)",11.30,11.38,10.65,0.85X
605289,罗曼股份,2025-11-28,65.15,"价格强势 (高于MA5,MA20,MA60)",64.22,64.88,63.67,0.99X
601100,恒立液压,2025-11-28,101.3,"价格强势 (高于MA5,MA20,MA60)",95.50,90.90,92.01,1.48X
600309,万华化学,2025-11-28,66.61,"价格强势 (高于MA5,MA20,MA60)",64.41,64.85,65.00,0.93X
600103,青山纸业,2025-11-28,3.95,"价格强势 (高于MA5,MA20,MA60)",3.76,3.88,3.69,1.09X
601126,四方股份,2025-11-28,28.02,放量上涨 (1.72X),26.34,28.15,23.54,1.72X
603489,八方股份,2025-11-28,33.8,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",31.82,30.77,27.56,1.15X
601113,华鼎股份,2025-11-28,4.62,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",4.43,4.23,4.15,1.23X
603335,迪生力,2025-11-28,6.29,"价格强势 (高于MA5,MA20,MA60)",6.16,6.29,5.84,0.46X
605398,新炬网络,2025-11-28,32.1,多头排列 (MA5>MA20>MA60),33.39,31.75,31.35,0.58X
603355,莱克电气,2025-11-28,31.04,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",29.56,28.07,24.77,0.83X
601238,广汽集团,2025-11-28,9.25,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",8.56,8.01,7.83,1.39X
